"","Sample.Name","Nucleic.Acid.ng.uL.","A260.A280","A260.A230","A260","A280","Nucleic.Acid.Factor","Baseline.Correction..nm.","Baseline.Absorbance"
"1","GRS_T2D_009",50.802,1.841,1.691,1.016,0.552,50,340,0.005
"2","GRS_T2D_010",54.931,1.865,2.784,1.099,0.589,50,340,-0.031
"3","GRS_T2D_011",144.58,1.858,2.35,2.892,1.556,50,340,0.065
"4","GRS_T2D_012",52.963,1.857,2.398,1.059,0.57,50,340,0.133
"5","GRS_T2D_013",86.088,1.877,2.518,1.722,0.917,50,340,0.014
"6","GRS_T2D_014",54.992,1.958,0.575,1.1,0.562,50,340,0.599
"7","GRS_T2D_015",75.546,1.876,2.396,1.511,0.806,50,340,0.001
"8","GRS_T2D_016",49.433,1.859,0.599,0.989,0.532,50,340,0.551
"9","GRS_T2D_017",69.29,1.727,1.73,1.386,0.802,50,340,1.085
"10","GRS_T2D_018",86.825,1.787,1.857,1.736,0.972,50,340,0.719
"11","GRS_T2D_019",151.536,1.874,2.494,3.031,1.617,50,340,0.034
"12","GRS_T2D_020",147.437,1.862,2.39,2.949,1.584,50,340,0.129
"13","GRS_T2D_021",181.549,1.866,2.426,3.631,1.946,50,340,0.038
"14","GRS_T2D_022",250.628,1.861,2.421,5.013,2.694,50,340,0.709
"15","GRS_T2D_023",77.426,1.859,2.606,1.549,0.833,50,340,0.113
"16","GRS_T2D_024",57.376,1.878,1.502,1.148,0.611,50,340,0.076
"17","GRS_T2D_025",64.67,1.785,1.584,1.293,0.725,50,340,1.382
"18","GRS_T2D_026",95.221,1.865,2.459,1.904,1.021,50,340,0.198
"19","GRS_T2D_027",113.371,1.859,2.523,2.267,1.22,50,340,0.017
"20","GRS_T2D_028",92.377,1.851,2.434,1.848,0.998,50,340,0.071
"21","GRS_T2D_029",123.629,1.851,2.264,2.473,1.336,50,340,0.042
"22","GRS_T2D_030",75.833,1.858,2.76,1.517,0.816,50,340,0.016
"23","GRS_T2D_031",117.303,1.831,2.019,2.346,1.281,50,340,0.4
"24","GRS_T2D_032",67.859,1.876,2.453,1.357,0.724,50,340,0.034
"25","GRS_T2D_033",45.997,1.871,2.503,0.92,0.492,50,340,0.082
"26","GRS_T2D_034",61.05,1.861,2.297,1.221,0.656,50,340,0.033
"27","GRS_T2D_035",245.529,1.88,2.43,4.911,2.612,50,340,0.028
"28","GRS_T2D_036",112.721,1.876,2.559,2.254,1.202,50,340,0.006
"29","GRS_T2D_037",142.759,1.874,2.447,2.855,1.523,50,340,0.009
"30","GRS_T2D_038",93.515,1.871,2.54,1.87,0.999,50,340,-0.003
"31","GRS_T2D_039",132.238,1.845,1.505,2.645,1.433,50,340,0.047
"32","GRS_T2D_040",65.027,1.838,0.555,1.301,0.707,50,340,-0.003
"33","GRS_T2D_041",81.533,1.829,1.681,1.631,0.892,50,340,0.605
"34","GRS_T2D_042",87.715,1.895,2.688,1.754,0.926,50,340,-0.016
"35","GRS_T2D_043",90.208,1.885,2.537,1.804,0.957,50,340,-0.031
"36","GRS_T2D_044",173.066,1.889,1.853,3.461,1.832,50,340,0.599
"37","GRS_T2D_045",97.784,1.882,2.222,1.956,1.039,50,340,-0.015
"38","GRS_T2D_046",96.36,1.883,2.644,1.927,1.024,50,340,-0.092
"39","GRS_T2D_047",88.174,1.861,1.596,1.763,0.948,50,340,-0.013
"40","GRS_T2D_048",79.708,1.894,2.461,1.594,0.842,50,340,-0.014
